"region","time","sector","polymer","element","value"
"EU27+3",2023,"PET single-use beverage bottles","PET","All",0.006937507831449308
"EU27+3",2024,"PET single-use beverage bottles","PET","All",0.0072917793546660725
"EU27+3",2025,"PET single-use beverage bottles","PET","All",0.0076461357419361775
"EU27+3",2026,"PET single-use beverage bottles","PET","All",0.00800024911769981
"EU27+3",2027,"PET single-use beverage bottles","PET","All",0.008353792499983692
"EU27+3",2028,"PET single-use beverage bottles","PET","All",0.008706440871611099
"EU27+3",2029,"PET single-use beverage bottles","PET","All",0.00905787223800325
"EU27+3",2030,"PET single-use beverage bottles","PET","All",0.009407768664368987
"EU27+3",2031,"PET single-use beverage bottles","PET","All",-0.0005276227776321862
"EU27+3",2032,"PET single-use beverage bottles","PET","All",-8.322224313861426e-05
"EU27+3",2033,"PET single-use beverage bottles","PET","All",0.0003703812294117981
"EU27+3",2034,"PET single-use beverage bottles","PET","All",0.0008327553994937897
"EU27+3",2035,"PET single-use beverage bottles","PET","All",0.0013034314874615927
"EU27+3",2036,"PET single-use beverage bottles","PET","All",0.0017819052683798464
"EU27+3",2037,"PET single-use beverage bottles","PET","All",0.0022676384645137215
"EU27+3",2038,"PET single-use beverage bottles","PET","All",0.0027600604347028934
"EU27+3",2039,"PET single-use beverage bottles","PET","All",0.0032585701547114265
"EU27+3",2040,"PET single-use beverage bottles","PET","All",0.0037625384783579463
"EU27+3",2023,"PET reusable beverage bottles","PET","All",1.0954785218773604
"EU27+3",2024,"PET reusable beverage bottles","PET","All",0.5227820330489048
"EU27+3",2025,"PET reusable beverage bottles","PET","All",0.3433071980775828
"EU27+3",2026,"PET reusable beverage bottles","PET","All",0.2555686432477191
"EU27+3",2027,"PET reusable beverage bottles","PET","All",0.20354812508430586
"EU27+3",2028,"PET reusable beverage bottles","PET","All",0.1691233784856323
"EU27+3",2029,"PET reusable beverage bottles","PET","All",0.14465828123691948
"EU27+3",2030,"PET reusable beverage bottles","PET","All",0.12637682669853367
"EU27+3",2031,"PET reusable beverage bottles","PET","All",0.2047486049986893
"EU27+3",2032,"PET reusable beverage bottles","PET","All",0.1699513111276123
"EU27+3",2033,"PET reusable beverage bottles","PET","All",0.14526357593788375
"EU27+3",2034,"PET reusable beverage bottles","PET","All",0.12683855401489041
"EU27+3",2035,"PET reusable beverage bottles","PET","All",0.11256142555911719
"EU27+3",2036,"PET reusable beverage bottles","PET","All",0.10117322331443357
"EU27+3",2037,"PET reusable beverage bottles","PET","All",0.09187766390642071
"EU27+3",2038,"PET reusable beverage bottles","PET","All",0.08414648173835637
"EU27+3",2039,"PET reusable beverage bottles","PET","All",0.07761541743273748
"EU27+3",2040,"PET reusable beverage bottles","PET","All",0.07202515496450967
