region,time,sector,polymer,value
EU27+3,2022,PET single-use beverage bottles,PET,0.24
EU27+3,2023,PET single-use beverage bottles,PET,0.24333333333333332
EU27+3,2024,PET single-use beverage bottles,PET,0.24666666666666667
EU27+3,2025,PET single-use beverage bottles,PET,0.25
EU27+3,2026,PET single-use beverage bottles,PET,0.28
EU27+3,2027,PET single-use beverage bottles,PET,0.31
EU27+3,2028,PET single-use beverage bottles,PET,0.34
EU27+3,2029,PET single-use beverage bottles,PET,0.37
EU27+3,2030,PET single-use beverage bottles,PET,0.4
EU27+3,2031,PET single-use beverage bottles,PET,0.42500000000000004
EU27+3,2032,PET single-use beverage bottles,PET,0.45
EU27+3,2033,PET single-use beverage bottles,PET,0.47500000000000003
EU27+3,2034,PET single-use beverage bottles,PET,0.5
EU27+3,2035,PET single-use beverage bottles,PET,0.525
EU27+3,2036,PET single-use beverage bottles,PET,0.55
EU27+3,2037,PET single-use beverage bottles,PET,0.5750000000000001
EU27+3,2038,PET single-use beverage bottles,PET,0.6000000000000001
EU27+3,2039,PET single-use beverage bottles,PET,0.625
EU27+3,2040,PET single-use beverage bottles,PET,0.65
