region,time,sector,polymer,value
EU27+3,2022,PET reusable beverage bottles,PET,0.674
EU27+3,2023,PET reusable beverage bottles,PET,0.6893333333333334
EU27+3,2024,PET reusable beverage bottles,PET,0.7046666666666667
EU27+3,2025,PET reusable beverage bottles,PET,0.72
EU27+3,2026,PET reusable beverage bottles,PET,0.7353333333333334
EU27+3,2027,PET reusable beverage bottles,PET,0.7506666666666667
EU27+3,2028,PET reusable beverage bottles,PET,0.766
EU27+3,2029,PET reusable beverage bottles,PET,0.7813333333333333
EU27+3,2030,PET reusable beverage bottles,PET,0.7966666666666666
EU27+3,2031,PET reusable beverage bottles,PET,0.812
EU27+3,2032,PET reusable beverage bottles,PET,0.8273333333333334
EU27+3,2033,PET reusable beverage bottles,PET,0.8426666666666667
EU27+3,2034,PET reusable beverage bottles,PET,0.858
EU27+3,2035,PET reusable beverage bottles,PET,0.8733333333333333
EU27+3,2036,PET reusable beverage bottles,PET,0.8886666666666667
EU27+3,2037,PET reusable beverage bottles,PET,0.9039999999999999
EU27+3,2038,PET reusable beverage bottles,PET,0.9193333333333333
EU27+3,2039,PET reusable beverage bottles,PET,0.9346666666666666
EU27+3,2040,PET reusable beverage bottles,PET,0.95
