region,time,sector,polymer,waste_category,value
EU27+3,2022,PET single-use beverage bottles,PET,Mechanical recycling,0.75
EU27+3,2023,PET single-use beverage bottles,PET,Mechanical recycling,0.7611111111111111
EU27+3,2024,PET single-use beverage bottles,PET,Mechanical recycling,0.7722222222222223
EU27+3,2025,PET single-use beverage bottles,PET,Mechanical recycling,0.7833333333333333
EU27+3,2026,PET single-use beverage bottles,PET,Mechanical recycling,0.7944444444444444
EU27+3,2027,PET single-use beverage bottles,PET,Mechanical recycling,0.8055555555555556
EU27+3,2028,PET single-use beverage bottles,PET,Mechanical recycling,0.8166666666666667
EU27+3,2029,PET single-use beverage bottles,PET,Mechanical recycling,0.8277777777777777
EU27+3,2030,PET single-use beverage bottles,PET,Mechanical recycling,0.8388888888888889
EU27+3,2031,PET single-use beverage bottles,PET,Mechanical recycling,0.85
EU27+3,2032,PET single-use beverage bottles,PET,Mechanical recycling,0.861111111111111
EU27+3,2033,PET single-use beverage bottles,PET,Mechanical recycling,0.8722222222222222
EU27+3,2034,PET single-use beverage bottles,PET,Mechanical recycling,0.8833333333333333
EU27+3,2035,PET single-use beverage bottles,PET,Mechanical recycling,0.8944444444444444
EU27+3,2036,PET single-use beverage bottles,PET,Mechanical recycling,0.9055555555555554
EU27+3,2037,PET single-use beverage bottles,PET,Mechanical recycling,0.9166666666666666
EU27+3,2038,PET single-use beverage bottles,PET,Mechanical recycling,0.9277777777777777
EU27+3,2039,PET single-use beverage bottles,PET,Mechanical recycling,0.9388888888888889
EU27+3,2040,PET single-use beverage bottles,PET,Mechanical recycling,0.95
