region,time,sector,polymer,element,value
EU27+3,2023,PET reusable beverage bottles,PET,All,1.0954785218773604
EU27+3,2023,PET single-use beverage bottles,PET,All,0.0069375078314493
EU27+3,2024,PET reusable beverage bottles,PET,All,0.5227820330489048
EU27+3,2024,PET single-use beverage bottles,PET,All,0.007291779354666
EU27+3,2025,PET reusable beverage bottles,PET,All,0.3433071980775828
EU27+3,2025,PET single-use beverage bottles,PET,All,0.0076461357419361
EU27+3,2026,PET reusable beverage bottles,PET,All,0.2555686432477191
EU27+3,2026,PET single-use beverage bottles,PET,All,0.0080002491176998
EU27+3,2027,PET reusable beverage bottles,PET,All,0.2035481250843058
EU27+3,2027,PET single-use beverage bottles,PET,All,0.0083537924999836
EU27+3,2028,PET reusable beverage bottles,PET,All,0.1691233784856323
EU27+3,2028,PET single-use beverage bottles,PET,All,0.008706440871611
EU27+3,2029,PET reusable beverage bottles,PET,All,0.1446582812369194
EU27+3,2029,PET single-use beverage bottles,PET,All,0.0090578722380032
EU27+3,2030,PET reusable beverage bottles,PET,All,0.1263768266985336
EU27+3,2030,PET single-use beverage bottles,PET,All,0.0094077686643689
EU27+3,2031,PET reusable beverage bottles,PET,All,0.2047486049986893
EU27+3,2031,PET single-use beverage bottles,PET,All,-0.0005276227776321
EU27+3,2032,PET reusable beverage bottles,PET,All,0.1699513111276123
EU27+3,2032,PET single-use beverage bottles,PET,All,-8.322224313861426e-05
EU27+3,2033,PET reusable beverage bottles,PET,All,0.1452635759378837
EU27+3,2033,PET single-use beverage bottles,PET,All,0.0003703812294117
EU27+3,2034,PET reusable beverage bottles,PET,All,0.1268385540148904
EU27+3,2034,PET single-use beverage bottles,PET,All,0.0008327553994937
EU27+3,2035,PET reusable beverage bottles,PET,All,0.1125614255591171
EU27+3,2035,PET single-use beverage bottles,PET,All,0.0013034314874615
EU27+3,2036,PET reusable beverage bottles,PET,All,0.1011732233144335
EU27+3,2036,PET single-use beverage bottles,PET,All,0.0017819052683798
EU27+3,2037,PET reusable beverage bottles,PET,All,0.0918776639064207
EU27+3,2037,PET single-use beverage bottles,PET,All,0.0022676384645137
EU27+3,2038,PET reusable beverage bottles,PET,All,0.0841464817383563
EU27+3,2038,PET single-use beverage bottles,PET,All,0.0027600604347028
EU27+3,2039,PET reusable beverage bottles,PET,All,0.0776154174327374
EU27+3,2039,PET single-use beverage bottles,PET,All,0.0032585701547114
EU27+3,2040,PET reusable beverage bottles,PET,All,0.0720251549645096
EU27+3,2040,PET single-use beverage bottles,PET,All,0.0037625384783579
