"parameter", "index", "description"
"Lifetime", "rsip", "Steel product lifetimes"
"EoLRecoveryRate", "rtsip", "Recovery rate of end-of-life (EoL) steel products"
"ScrapSortingRate", "rtsipw", "Sorting rate of scrap steel"
"Contamination", "rtsipe", "Contamination of steel from scrap management"
"DomesticProduction", "rtsipe", "Domestic production of steel products"
"ImportNewProducts", "rtsipe", "Import of new steel products"
"ImportNewGoods", "rtsipe", "Import of new steel goods"
"ExportNewProducts", "rtsipe", "Export of new steel products"
"ExportNewGoods", "rtsipe", "Export of new steel goods"
"InitialStock", "rtcisipe", "Stock of steel products, initial modelling year"
"NewScrapRate", "rtsip", "Rate of generation of new scrap in steel goods production"
