"Short name", "Process"
EUSAllH, "End use stock historic: All"
EUSAllF, "End use stock future: All"
ProdClH, "Production of clinker historic"
MarClH, "Market for clinker historic"
ProdCeH, "Production of cement historic"
MarCeH, "Market for cement historic"
ProdCoH, "Production of end use products from concrete historic"
MarCoH, "Market for end use products from concrete historic"
WCCoH, "Waste collection of concrete historic"
UWMCoH, "Unsorted waste market for concrete waste historic"
WSCoH, "Waste sorting of concrete waste historic"
SWMCoH, "Sorted waste market for concrete waste historic"
ProdClF, "Production of clinker future"
MarClF, "Market for clinker future"
ProdCeF, "Production of cement future"
MarCeF, "Market for cement future"
ProdCoF, "Production of end use products from concrete future"
MarCoF, "Market for end use products from concrete future"
WCCoF, "Waste collection of concrete future"
UWMCoF, "Unsorted waste market for concrete waste future"
WSCoF, "Waste sorting of concrete waste future"
SWMCoF, "Sorted waste market for concrete waste future"
