"Short name", "Process"
EUSAllH, "End use stock historic: All"
EUSAllF, "End use stock future: All"
"", "Forming of intermediate product from steel"
"", "Market for intermediate product from steel"
"", "Fabrication of end use product from steel"
"", "Recycling of new scrap"
"", "Market for end use product from steel"
"", "Waste collection of steel scrap"
"", "Unsorted waste market for steel scrap"
"", "Waste sorting of steel scrap"
"", "Sorted waste market for steel scrap"
"", "Recycling of old scrap"

